participant,blockID,trialID,condition,screenID,leftImage,rightImage,cue,congruency,correctObject,response,acc,rt
14,1,1,pre,memory,image259,image331,left,incongruent,NA,right,TRUE,1355.9000000059605
14,1,1,pre,memory,image21,image405,left,incongruent,NA,right,TRUE,1508.6000000014901
14,1,1,pre,memory,image306,image222,right,incongruent,NA,left,TRUE,1202.2000000029802
14,1,1,pre,retrieval,NA,NA,NA,incongruent,image222,image306,FALSE,3208.7999999970198
14,1,1,pre,retrieval,NA,NA,NA,incongruent,image259,image21,FALSE,1983.7999999970198
14,1,1,pre,retrieval,NA,NA,NA,incongruent,image21,image222,FALSE,1694.8000000044703
14,1,2,pre,memory,image362,image140,right,congruent,NA,NULL,FALSE,NA
14,1,2,pre,memory,image401,image32,left,congruent,NA,NULL,FALSE,NA
14,1,2,pre,memory,image93,image129,right,incongruent,NA,left,TRUE,1133.1999999955297
14,1,2,pre,retrieval,NA,NA,NA,congruent,image401,image401,TRUE,4396.30000000447
14,1,2,pre,retrieval,NA,NA,NA,congruent,image140,image140,TRUE,3828.5999999940395
14,1,2,pre,retrieval,NA,NA,NA,incongruent,image129,image93,FALSE,3612.10000000149
14,1,3,pre,memory,image4,image332,left,congruent,NA,left,TRUE,1494.1000000014901
14,1,3,pre,memory,image81,image392,right,incongruent,NA,left,TRUE,1650.3000000044703
14,1,3,pre,memory,image71,image400,right,incongruent,NA,NULL,FALSE,NA
14,1,3,pre,retrieval,NA,NA,NA,incongruent,image392,image392,TRUE,4462
14,1,3,pre,retrieval,NA,NA,NA,incongruent,image400,image400,TRUE,3793
14,1,3,pre,retrieval,NA,NA,NA,congruent,image4,image4,TRUE,896.7000000029802
14,1,4,pre,memory,image146,image99,left,incongruent,NA,right,TRUE,1457.5
14,1,4,pre,memory,image213,image136,right,incongruent,NA,left,TRUE,1896.8999999985099
14,1,4,pre,memory,image34,image72,left,incongruent,NA,NULL,FALSE,NA
14,1,4,pre,retrieval,NA,NA,NA,incongruent,image136,image136,TRUE,3237.5
14,1,4,pre,retrieval,NA,NA,NA,incongruent,image146,image146,TRUE,2142.60000000149
14,1,4,pre,retrieval,NA,NA,NA,incongruent,image34,image34,TRUE,2101
14,1,5,pre,memory,image8,image391,left,congruent,NA,left,TRUE,1206.0999999940395
14,1,5,pre,memory,image279,image417,right,congruent,NA,right,TRUE,1228.6000000014901
14,1,5,pre,memory,image102,image379,left,incongruent,NA,NULL,FALSE,NA
14,1,5,pre,retrieval,NA,NA,NA,incongruent,image102,image102,TRUE,2744.7999999970198
14,1,5,pre,retrieval,NA,NA,NA,congruent,image417,image417,TRUE,1923.8000000044703
14,1,5,pre,retrieval,NA,NA,NA,congruent,image8,image8,TRUE,1476.3999999985099
14,1,6,pre,memory,image73,image300,left,congruent,NA,left,TRUE,1221
14,1,6,pre,memory,image115,image414,right,incongruent,NA,left,TRUE,1445.2999999970198
14,1,6,pre,memory,image60,image334,right,congruent,NA,NULL,FALSE,NA
14,1,6,pre,retrieval,NA,NA,NA,congruent,image334,image60,FALSE,2733.5
14,1,6,pre,retrieval,NA,NA,NA,incongruent,image414,image414,TRUE,1456.3000000044703
14,1,6,pre,retrieval,NA,NA,NA,congruent,image73,image73,TRUE,2137.7999999970198
14,1,7,pre,memory,image177,image241,right,incongruent,NA,left,TRUE,1173.5
14,1,7,pre,memory,image133,image164,left,incongruent,NA,right,TRUE,1474.0999999940395
14,1,7,pre,memory,image82,image166,left,incongruent,NA,right,TRUE,1817.3000000044703
14,1,7,pre,retrieval,NA,NA,NA,incongruent,image133,image133,TRUE,2822.6999999955297
14,1,7,pre,retrieval,NA,NA,NA,incongruent,image241,image82,FALSE,1208.2999999970198
14,1,7,pre,retrieval,NA,NA,NA,incongruent,image82,image241,FALSE,588.8000000044703
14,1,8,pre,memory,image149,image324,left,incongruent,NA,right,TRUE,1030.7999999970198
14,1,8,pre,memory,image244,image321,right,incongruent,NA,left,TRUE,1513.6000000014901
14,1,8,pre,memory,image301,image287,right,congruent,NA,right,TRUE,1649.6000000014901
14,1,8,pre,retrieval,NA,NA,NA,incongruent,image321,image321,TRUE,2186.89999999851
14,1,8,pre,retrieval,NA,NA,NA,incongruent,image149,image149,TRUE,1589.3000000044703
14,1,8,pre,retrieval,NA,NA,NA,congruent,image287,image287,TRUE,1101.8999999985099
14,1,9,pre,memory,image13,image28,right,congruent,NA,NULL,FALSE,NA
14,1,9,pre,memory,image342,image343,left,incongruent,NA,right,TRUE,1088.6999999955297
14,1,9,pre,memory,image31,image278,left,incongruent,NA,right,TRUE,1076.8999999985099
14,1,9,pre,retrieval,NA,NA,NA,congruent,image28,image28,TRUE,2498.2999999970198
14,1,9,pre,retrieval,NA,NA,NA,incongruent,image31,image342,FALSE,2940.89999999851
14,1,9,pre,retrieval,NA,NA,NA,incongruent,image342,image31,FALSE,1093.8000000044703
14,1,10,pre,memory,image161,image204,right,incongruent,NA,left,TRUE,1352.8000000044703
14,1,10,pre,memory,image364,image152,left,congruent,NA,right,FALSE,1721.8000000044703
14,1,10,pre,memory,image238,image381,right,congruent,NA,NULL,FALSE,NA
14,1,10,pre,retrieval,NA,NA,NA,congruent,image364,image364,TRUE,2319.7000000029802
14,1,10,pre,retrieval,NA,NA,NA,incongruent,image204,image204,TRUE,2015.9000000059605
14,1,10,pre,retrieval,NA,NA,NA,congruent,image381,image381,TRUE,2115.7000000029802
14,1,11,pre,memory,image156,image388,left,congruent,NA,left,TRUE,967.4000000059605
14,1,11,pre,memory,image425,image208,left,incongruent,NA,right,TRUE,1662.5
14,1,11,pre,memory,image389,image397,right,congruent,NA,right,TRUE,1469.2000000029802
14,1,11,pre,retrieval,NA,NA,NA,congruent,image156,image156,TRUE,3750.7999999970198
14,1,11,pre,retrieval,NA,NA,NA,congruent,image397,image425,FALSE,2084
14,1,11,pre,retrieval,NA,NA,NA,incongruent,image425,image397,FALSE,1404.8999999985099
14,1,12,pre,memory,image255,image299,right,incongruent,NA,left,TRUE,1175.1000000014901
14,1,12,pre,memory,image307,image14,left,incongruent,NA,right,TRUE,1295.8999999985099
14,1,12,pre,memory,image234,image370,left,congruent,NA,left,TRUE,1870
14,1,12,pre,retrieval,NA,NA,NA,congruent,image234,image307,FALSE,5395.89999999851
14,1,12,pre,retrieval,NA,NA,NA,incongruent,image299,image307,FALSE,3739.0999999940395
14,1,12,pre,retrieval,NA,NA,NA,incongruent,image307,image299,FALSE,5666
14,1,13,pre,memory,image314,image346,right,incongruent,NA,left,TRUE,1085.5999999940395
14,1,13,pre,memory,image185,image253,right,incongruent,NA,left,TRUE,1342.7000000029802
14,1,13,pre,memory,image359,image47,right,congruent,NA,left,FALSE,1586.5
14,1,13,pre,retrieval,NA,NA,NA,incongruent,image253,image253,TRUE,2530.3000000044703
14,1,13,pre,retrieval,NA,NA,NA,congruent,image47,image47,TRUE,4511
14,1,13,pre,retrieval,NA,NA,NA,incongruent,image346,image346,TRUE,1248.0999999940395
14,1,14,pre,memory,image141,image320,left,congruent,NA,NULL,FALSE,NA
14,1,14,pre,memory,image217,image237,right,incongruent,NA,NULL,FALSE,NA
14,1,14,pre,memory,image428,image50,right,congruent,NA,right,TRUE,1033.4000000059605
14,1,14,pre,retrieval,NA,NA,NA,congruent,image141,image428,FALSE,2656.5
14,1,14,pre,retrieval,NA,NA,NA,incongruent,image237,image320,FALSE,3430.7999999970198
14,1,14,pre,retrieval,NA,NA,NA,congruent,image50,image217,FALSE,978.3999999985099
14,1,15,pre,memory,image284,image2,left,incongruent,NA,NULL,FALSE,NA
14,1,15,pre,memory,image56,image171,left,incongruent,NA,right,TRUE,1568.7000000029802
14,1,15,pre,memory,image130,image151,right,congruent,NA,right,TRUE,1418.8999999985099
14,1,15,pre,retrieval,NA,NA,NA,congruent,image151,image171,FALSE,5068.39999999851
14,1,15,pre,retrieval,NA,NA,NA,incongruent,image56,image171,FALSE,1911.2000000029802
14,1,15,pre,retrieval,NA,NA,NA,incongruent,image284,image284,TRUE,355.3999999985099
14,1,16,pre,memory,image380,image356,right,congruent,NA,right,TRUE,1458.3000000044703
14,1,16,pre,memory,image216,image78,left,congruent,NA,NULL,FALSE,NA
14,1,16,pre,memory,image154,image419,left,congruent,NA,left,TRUE,1776.2999999970198
14,1,16,pre,retrieval,NA,NA,NA,congruent,image216,image78,FALSE,2786.8000000044703
14,1,16,pre,retrieval,NA,NA,NA,congruent,image154,image216,FALSE,1101.6000000014901
14,1,16,pre,retrieval,NA,NA,NA,congruent,image356,image356,TRUE,4491.69999999553
14,1,17,pre,memory,image197,image6,left,incongruent,NA,right,TRUE,1283.7000000029802
