id,exp,setsize,ss_fac,ss_lin,corr,other,npl,n_corr,n_other,n_npl
10_closedset,closedset,2,2,-3.833333333333333,23,0,0,1,0,1
10_closedset,closedset,2,2,-3.833333333333333,23,0,0,1,1,0
10_closedset,closedset,2,2,-3.833333333333333,23,0,0,1,1,2
10_closedset,closedset,4,4,-1.833333333333333,23,0,0,1,0,1
10_closedset,closedset,4,4,-1.833333333333333,23,0,0,1,1,0
10_closedset,closedset,4,4,-1.833333333333333,22,0,1,1,1,2
10_closedset,closedset,4,4,-1.833333333333333,22,1,0,1,3,0
10_closedset,closedset,4,4,-1.833333333333333,23,0,0,1,3,4
10_closedset,closedset,6,6,0.16666666666666696,22,0,1,1,0,1
10_closedset,closedset,6,6,0.16666666666666696,21,2,0,1,1,0
10_closedset,closedset,6,6,0.16666666666666696,23,0,0,1,1,2
10_closedset,closedset,6,6,0.16666666666666696,21,2,0,1,3,0
10_closedset,closedset,6,6,0.16666666666666696,20,2,1,1,3,4
10_closedset,closedset,6,6,0.16666666666666696,21,2,0,1,5,0
10_closedset,closedset,6,6,0.16666666666666696,21,1,1,1,5,4
10_closedset,closedset,8,8,2.166666666666667,21,0,2,1,0,1
10_closedset,closedset,8,8,2.166666666666667,20,3,0,1,1,0
10_closedset,closedset,8,8,2.166666666666667,18,3,2,1,1,2
10_closedset,closedset,8,8,2.166666666666667,19,4,0,1,3,0
10_closedset,closedset,8,8,2.166666666666667,19,2,2,1,3,4
10_closedset,closedset,8,8,2.166666666666667,19,4,0,1,5,0
10_closedset,closedset,8,8,2.166666666666667,17,5,1,1,5,4
10_closedset,closedset,8,8,2.166666666666667,15,8,0,1,7,0
10_closedset,closedset,8,8,2.166666666666667,18,4,1,1,7,4
10_openset,openset,2,2,-3.833333333333333,23,0,0,1,0,1
10_openset,openset,2,2,-3.833333333333333,23,0,0,1,1,0
10_openset,openset,2,2,-3.833333333333333,23,0,0,1,1,2
10_openset,openset,4,4,-1.833333333333333,23,0,0,1,0,1
10_openset,openset,4,4,-1.833333333333333,23,0,0,1,1,0
10_openset,openset,4,4,-1.833333333333333,22,1,0,1,1,2
10_openset,openset,4,4,-1.833333333333333,23,0,0,1,3,0
10_openset,openset,4,4,-1.833333333333333,22,1,0,1,3,4
10_openset,openset,6,6,0.16666666666666696,23,0,0,1,0,1
10_openset,openset,6,6,0.16666666666666696,22,1,0,1,1,0
10_openset,openset,6,6,0.16666666666666696,20,3,0,1,1,2
10_openset,openset,6,6,0.16666666666666696,20,3,0,1,3,0
10_openset,openset,6,6,0.16666666666666696,21,2,0,1,3,4
10_openset,openset,6,6,0.16666666666666696,23,0,0,1,5,0
10_openset,openset,6,6,0.16666666666666696,23,0,0,1,5,4
10_openset,openset,8,8,2.166666666666667,23,0,0,1,0,1
10_openset,openset,8,8,2.166666666666667,17,6,0,1,1,0
10_openset,openset,8,8,2.166666666666667,21,2,0,1,1,2
10_openset,openset,8,8,2.166666666666667,21,2,0,1,3,0
10_openset,openset,8,8,2.166666666666667,18,5,0,1,3,4
10_openset,openset,8,8,2.166666666666667,19,4,0,1,5,0
10_openset,openset,8,8,2.166666666666667,17,6,0,1,5,4
10_openset,openset,8,8,2.166666666666667,17,6,0,1,7,0
10_openset,openset,8,8,2.166666666666667,18,5,0,1,7,4
11_closedset,closedset,2,2,-3.833333333333333,23,0,0,1,0,1
11_closedset,closedset,2,2,-3.833333333333333,23,0,0,1,1,0
11_closedset,closedset,2,2,-3.833333333333333,22,1,0,1,1,2
11_closedset,closedset,4,4,-1.833333333333333,23,0,0,1,0,1
11_closedset,closedset,4,4,-1.833333333333333,23,0,0,1,1,0
11_closedset,closedset,4,4,-1.833333333333333,23,0,0,1,1,2
11_closedset,closedset,4,4,-1.833333333333333,23,0,0,1,3,0
11_closedset,closedset,4,4,-1.833333333333333,22,1,0,1,3,4
11_closedset,closedset,6,6,0.16666666666666696,21,0,2,1,0,1
11_closedset,closedset,6,6,0.16666666666666696,23,0,0,1,1,0
11_closedset,closedset,6,6,0.16666666666666696,21,2,0,1,1,2
11_closedset,closedset,6,6,0.16666666666666696,21,2,0,1,3,0
11_closedset,closedset,6,6,0.16666666666666696,21,1,1,1,3,4
11_closedset,closedset,6,6,0.16666666666666696,21,2,0,1,5,0
11_closedset,closedset,6,6,0.16666666666666696,19,4,0,1,5,4
11_closedset,closedset,8,8,2.166666666666667,20,0,3,1,0,1
11_closedset,closedset,8,8,2.166666666666667,20,3,0,1,1,0
11_closedset,closedset,8,8,2.166666666666667,21,1,1,1,1,2
11_closedset,closedset,8,8,2.166666666666667,17,6,0,1,3,0
11_closedset,closedset,8,8,2.166666666666667,17,1,5,1,3,4
